央视,#genre#
CCTV-13,CCTV13&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000217.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000217?AuthInfo=xxx&userid=
CCTV-14,CCTV15&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000291.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000291?AuthInfo=xxx&userid=
CCTV-14,CCTV15&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000215.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000215?AuthInfo=xxx&userid=
CCTV-15,CCTV16&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000388.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000388?AuthInfo=xxx&userid=
CCTV-15,CCTV16&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000216.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000216?AuthInfo=xxx&userid=
CCTV-5+,CCTV5-PLUS&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000230.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000230?AuthInfo=xxx&userid=#
CCTV-17,CCTV17NY&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000346.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000346?AuthInfo=xxx&userid=
CCTV-17,CCTV17NY&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000348.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000348?AuthInfo=xxx&userid=
卫视,#genre#
湖南卫视,HUNANTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000228.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000228?AuthInfo=xxx&userid=
