央视,#genre#
CCTV怀旧剧场,CCTVPAYFEE7&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000401?AuthInfo=xxx&userid=
CCTV风云音乐,CCTVPAYFEE2&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000399?AuthInfo=xxx&userid=
CCTV兵器科技,CCTVPAYFEE8&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000405?AuthInfo=xxx&userid=
CCTV世界地理,CCTVPAYFEE5&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000407?AuthInfo=xxx&userid=
CCTV女性时尚,CCTVPAYFEE9&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000408?AuthInfo=xxx&userid=
CCTV央视台球,CCTVPAYFEE36&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000404?AuthInfo=xxx&userid=
CCTV风云足球,CCTVPAYFEE1&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000403?AuthInfo=xxx&userid=
CCTV文化精品,CCTVPAYFEE14&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000406?AuthInfo=xxx&userid=
CCTV高尔夫网球,CCTVPAYFEE13&高清,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000402?AuthInfo=xxx&userid=
中网,#genre#
CNTV-城市剧场,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000336.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000336?AuthInfo=xxx&userid=
CNTV-武侠剧场,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000314.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000314?AuthInfo=xxx&userid=
CNTV-喜剧影院,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000313.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000313?AuthInfo=xxx&userid=
CNTV-军旅剧场,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000335.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000335?AuthInfo=xxx&userid=
CNTV-古装剧场,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000334.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000334?AuthInfo=xxx&userid=
CNTV-动作影院,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000312.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000312?AuthInfo=xxx&userid=
CNTV-家庭影院,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000311.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000311?AuthInfo=xxx&userid=
CNTV-谍战剧场,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000154.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000154?AuthInfo=xxx&userid=
CNTV-经典电影,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000156.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000156?AuthInfo=xxx&userid=
CNTV-魅力时尚,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000157.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000157?AuthInfo=xxx&userid=
CNTV-热播剧,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000155.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000155?AuthInfo=xxx&userid=
CNTV-少儿动漫,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000158.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000158?AuthInfo=xxx&userid=
CNTV-武侠剧,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000314.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000314?AuthInfo=xxx&userid=
CNTV-6+,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000148.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000148?AuthInfo=xxx&userid=
CNTV-8+,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000147.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000147?AuthInfo=xxx&userid=
CNTV-148,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000147.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000147?AuthInfo=xxx&userid=
CNTV-310,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000310.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000310?AuthInfo=xxx&userid=
CNTV-CC1,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000149.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000149?AuthInfo=xxx&userid=
CNTV-CC2,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000150.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000150?AuthInfo=xxx&userid=
CNTV-动画,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000324.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000324?AuthInfo=xxx&userid=
CNTV-法治,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000152.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000152?AuthInfo=xxx&userid=
CNTV-自然,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000153.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000153?AuthInfo=xxx&userid=
CNTV-地理,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000337.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000337?AuthInfo=xxx&userid=
CNTV-高网,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000316.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000316?AuthInfo=xxx&userid=
CNTV-国学,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000327.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000327?AuthInfo=xxx&userid=
CNTV-解密,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000329.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000329?AuthInfo=xxx&userid=
CNTV-军事,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000328.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000328?AuthInfo=xxx&userid=
CNTV-美人,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000331.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000331?AuthInfo=xxx&userid=
CNTV-美妆,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000332.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000332?AuthInfo=xxx&userid=
CNTV-墨宝,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000321.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000321?AuthInfo=xxx&userid=
CNTV-武术,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000317.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000317?AuthInfo=xxx&userid=
CNTV-戏曲,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000326.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000326?AuthInfo=xxx&userid=
CNTV-早教,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000325.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000325?AuthInfo=xxx&userid=
CNTV-足球,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000315.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000315?AuthInfo=xxx&userid=
CNTV-考古,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000322.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000322?AuthInfo=xxx&userid=
CNTV-鉴赏,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000319.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000319?AuthInfo=xxx&userid=
CNTV-光影,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000320.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000320?AuthInfo=xxx&userid=
CNTV-精选,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000330.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000330?AuthInfo=xxx&userid=
CNTV-爱生活,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000318.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000318?AuthInfo=xxx&userid=
CNTV-好学生,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000323.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000323?AuthInfo=xxx&userid=
CNTV-相声小品,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000151.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000151?AuthInfo=xxx&userid=
CNTV-音乐现场,&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000333.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000333?AuthInfo=xxx&userid=
其他,#genre#
CHC高清电影,CHC3&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000394.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000394?AuthInfo=xxx&userid=
CHC家庭影院,CHC2&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000393.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000393?AuthInfo=xxx&userid=
CHC动作电影,CHC1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000392.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000392?AuthInfo=xxx&userid=
CGTN,CCTV19&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000344.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000344?AuthInfo=xxx&userid=
CETV1,CETV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000363.rsc?tvdr=%s,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000363?AuthInfo=xxx&userid=
CETV4,CETV4&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000362.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000362?AuthInfo=xxx&userid=
CETV早期教育,&CCTVPAYFEE33&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000400.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000400?AuthInfo=xxx&userid=
北京-卡酷动画,BTV10&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000159.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000159?AuthInfo=xxx&userid=
湖南-金鹰卡通,HUNANTV2&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000162.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000162?AuthInfo=xxx&userid=
广东-嘉佳卡通,GDTV7&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000386.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000386?AuthInfo=xxx&userid=
精彩影视,&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000396.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000396?AuthInfo=xxx&userid=
求索纪录,&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000397.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000397?AuthInfo=xxx&userid=
纪实人文,SHHAI6&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000275.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000275?AuthInfo=xxx&userid=
快乐垂钓,&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000382.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000382?AuthInfo=xxx&userid=
财富天下,CAIFUTIANXIA&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000263.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000263?AuthInfo=xxx&userid=
茶频道,DOCUMENTARY-CHANNEL&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000395.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000395?AuthInfo=xxx&userid=
4K测试,&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000391.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000391?AuthInfo=xxx&userid=
网络,#genre#
赛事-英雄联盟,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660000?lzlown_proxy_auth=auth
赛事-英雄联盟,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/288016?lzlown_proxy_auth=auth
赛事-联盟手游,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/667812?lzlown_proxy_auth=auth
赛事-绝地求生,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660004?lzlown_proxy_auth=auth
赛事-绝地求生,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/100?lzlown_proxy_auth=auth
赛事-和平精英,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660006?lzlown_proxy_auth=auth
赛事-和平精英,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/999?lzlown_proxy_auth=auth
赛事-王者荣耀,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660002?lzlown_proxy_auth=auth
赛事-王者荣耀,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/1863767?lzlown_proxy_auth=auth
赛事-云顶之弈,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660133?lzlown_proxy_auth=auth
赛事-金铲铲,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660579?lzlown_proxy_auth=auth
赛事-穿越火线,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660101?lzlown_proxy_auth=auth
赛事-火线手游,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660102?lzlown_proxy_auth=auth
赛事-无畏契约,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660679?lzlown_proxy_auth=auth
赛事-暗区突围,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/645389?lzlown_proxy_auth=auth
赛事-永劫无间,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660115?lzlown_proxy_auth=auth
赛事-第五人格,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/461698?lzlown_proxy_auth=auth
赛事-JJ斗地主,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/14079954?lzlown_proxy_auth=auth
赛事-JJ斗地主,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/488743?lzlown_proxy_auth=auth
赛事-QQ飞车,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660219?lzlown_proxy_auth=auth
赛事-飞车手游,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/660117?lzlown_proxy_auth=auth
赛事-逆战,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/12149051?lzlown_proxy_auth=auth
音乐-轮播,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/6557037?lzlown_proxy_auth=auth
小品-赵本山,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/9817716?lzlown_proxy_auth=auth
小品-开心麻花,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/10153463?lzlown_proxy_auth=auth
动画-茶啊二中,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/2925610?lzlown_proxy_auth=auth
赶海-渔戈兄弟,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/9091847?lzlown_proxy_auth=auth
万合出品,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/9220456?lzlown_proxy_auth=auth
暴走大事件,斗鱼,proxys://lzlown.com:9090/228e76fb93ecba6b/douyu/1275878?lzlown_proxy_auth=auth
测试,测试,https://lzlown.com:9090/1.mp4
TT,虎牙,proxys://lzlown.com:9090/228e76fb93ecba6b/huya/13303478?lzlown_proxy_auth=auth
